"title","url","platform","options","description","numforecasts","stars"
"First Minister to leave the Cabinet?","https://smarkets.com/event/41636607/politics/uk/cabinet/raab-versus-hancock-first-to-go","Smarkets","[{""name"":""Dominic Raab"",""probability"":0.40996613449443636,""type"":""PROBABILITY""},{""name"":""Matt Hancock"",""probability"":0.5900338655055636,""type"":""PROBABILITY""}]","With the controversies over the ordering of PPE and the delivery of it to hospitals will Dominic Raab or Matt Hancock leave the Cabinet first? ",,"★★☆☆☆"
"Keir Starmer exit date","https://smarkets.com/event/41659361/politics/uk/uk-party-leaders/keir-starmer-exit-date","Smarkets","[{""name"":""2023 or earlier"",""probability"":0.25863145686501915,""type"":""PROBABILITY""},{""name"":""2024"",""probability"":0.3431171380140958,""type"":""PROBABILITY""},{""name"":""2025 or later"",""probability"":0.39825140512088497,""type"":""PROBABILITY""}]","When will Keir Starmer cease to be leader of the Labour Party?",,"★★☆☆☆"
"2021 London mayoral election winner","https://smarkets.com/event/41659442/politics/uk/london-mayoral-election/2021-london-mayoral-election","Smarkets","[{""name"":""Sadiq Khan"",""probability"":0.927550615323541,""type"":""PROBABILITY""},{""name"":""Shaun Bailey"",""probability"":0.022528781262405716,""type"":""PROBABILITY""},{""name"":""Siân Berry"",""probability"":0.00009924573243350536,""type"":""PROBABILITY""},{""name"":""Siobhan Benita"",""probability"":0.00009924573243350536,""type"":""PROBABILITY""},{""name"":""Brian Rose"",""probability"":0.04962286621675268,""type"":""PROBABILITY""},{""name"":""Mandu Reid"",""probability"":0.00009924573243350536,""type"":""PROBABILITY""}]","Who will be elected mayor of London in the 2021 mayoral election? Contracts added on request.",,"★★☆☆☆"
"Sadiq Khan to get over 50% in first round","https://smarkets.com/event/41659455/politics/uk/london-mayoral-election/sadiq-khan-to-win-on-first-preferences","Smarkets","[{""name"":""Yes"",""probability"":0.29048731931100147,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.7095126806889985,""type"":""PROBABILITY""}]","Will Sadiq Khan receive over 50% of the vote in the first round of the 2021 London mayoral election?",,"★★☆☆☆"
"2021 West Midlands mayoral election winner","https://smarkets.com/event/41664162/politics/uk/local-elections/2021-west-midlands-mayoral-election-winner","Smarkets","[{""name"":""Andy Street"",""probability"":0.6161293542269688,""type"":""PROBABILITY""},{""name"":""Liam Byrne"",""probability"":0.38387064577303126,""type"":""PROBABILITY""},{""name"":""Beverley Nielsen"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Kathryn Downs"",""probability"":0,""type"":""PROBABILITY""}]","Who will be elected mayor of the West Midlands in the 2021 mayoral election? Contracts added on request.",,"★★☆☆☆"
"2021 Tees Valley mayoral election winner","https://smarkets.com/event/41664244/politics/uk/local-elections/2021-tees-valley-mayoral-election-winner","Smarkets","[{""name"":""Ben Houchen"",""probability"":0.724179585262734,""type"":""PROBABILITY""},{""name"":""Jessie Joe Jacobs"",""probability"":0.27582041473726593,""type"":""PROBABILITY""}]","Who will be elected mayor of the Tees Valley in the 2021 mayoral election? Contracts added on request.",,"★★☆☆☆"
"Scottish Parliament election 2021 winner","https://smarkets.com/event/41664419/politics/uk/scotland/scottish-parliament-election-2021","Smarkets","[{""name"":""SNP"",""probability"":0.9096499526963103,""type"":""PROBABILITY""},{""name"":""Conservative"",""probability"":0.02052980132450331,""type"":""PROBABILITY""},{""name"":""Labour"",""probability"":0.017218543046357615,""type"":""PROBABILITY""},{""name"":""Liberal Democrats"",""probability"":0.05260170293282876,""type"":""PROBABILITY""}]","Which party will win the most seats in the 2021 Scottish Parliament election? Contracts added on request.",,"★★☆☆☆"
"Scottish Parliament election 2021 most seats (w/o SNP)","https://smarkets.com/event/41664420/politics/uk/scotland/scottish-parliament-election-2021-winner-w-o-snp","Smarkets","[{""name"":""Conservative"",""probability"":0.5717348426378527,""type"":""PROBABILITY""},{""name"":""Labour"",""probability"":0.3199554069119287,""type"":""PROBABILITY""},{""name"":""Liberal Democrats"",""probability"":0.08575593859874796,""type"":""PROBABILITY""},{""name"":""Green"",""probability"":0.022553811851470713,""type"":""PROBABILITY""}]","Which party (excluding the SNP) will win the most seats in the 2021 Scottish Parliament election? Contracts added on request.",,"★★☆☆☆"
"Local elections highest vote share","https://smarkets.com/event/41665773/politics/uk/local-elections/highest-vote-share","Smarkets","[{""name"":""Conservative"",""probability"":0.5961538461538461,""type"":""PROBABILITY""},{""name"":""Labour"",""probability"":0.40384615384615385,""type"":""PROBABILITY""}]","Which party will receive the highest national equivalent vote share at the 2021 United Kingdom local elections?",,"★★☆☆☆"
"Next permanent leader of fine gael after Leo Varadkar","https://smarkets.com/event/41669531/politics/europe/ireland/fine-gael-leader","Smarkets","[{""name"":""Simon Coveney"",""probability"":0.6757322175732217,""type"":""PROBABILITY""},{""name"":""Paschal Donohoe"",""probability"":0.101115760111576,""type"":""PROBABILITY""},{""name"":""Helen McEntee"",""probability"":0.12633658763365874,""type"":""PROBABILITY""},{""name"":""Josepha Madigan"",""probability"":0.09681543468154347,""type"":""PROBABILITY""},{""name"":""Simon Harris"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Heather Humphreys"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Eoghan Murphy"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Charles Flanagan"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Sean Kyne"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Richard Bruton"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Paul Kehoe"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Martin Heydon"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Joe McHugh"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Michael Ring"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Michael Creed"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Colm Brophy"",""probability"":0,""type"":""PROBABILITY""}]","Contracts to be added on request.",,"★★☆☆☆"
