"title","url","platform","options","description","numforecasts","stars"
"Next Scottish Labour leader","https://smarkets.com/event/42036626/politics/uk/uk-party-leaders/next-scottish-labour-leader","Smarkets","[{""name"":""Anas Sarwar"",""probability"":0.5537514335727651,""type"":""PROBABILITY""},{""name"":""Claire Baker"",""probability"":0.020824530693547415,""type"":""PROBABILITY""},{""name"":""Gordon Brown"",""probability"":0.023238969034828274,""type"":""PROBABILITY""},{""name"":""Ian Murray"",""probability"":0.07364036940906622,""type"":""PROBABILITY""},{""name"":""Jackie Baillie"",""probability"":0.07738274883805156,""type"":""PROBABILITY""},{""name"":""James Kelly"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Monica Lennon"",""probability"":0.18289370435202512,""type"":""PROBABILITY""},{""name"":""Rhoda Grant"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Tony Blair"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Paul Sweeney"",""probability"":0.043097724391863344,""type"":""PROBABILITY""},{""name"":""Alistair Darling"",""probability"":0.025170519707852963,""type"":""PROBABILITY""},{""name"":""Daniel Johnson"",""probability"":0,""type"":""PROBABILITY""}]","Who will be the next permanent leader of the Scottish Labour Party? Candidates added on request.",,"★★☆☆☆"
"$2,000 stimulus checks in Biden's first 100 days","https://smarkets.com/event/42037956/politics/us/joe-biden/2000-stimulus-in-biden-s-first-100-days","Smarkets","[{""name"":""Yes"",""probability"":0.016748570855480892,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9832514291445191,""type"":""PROBABILITY""}]","Will the House and Senate agree to stimulus checks of $2,000 to American citizens (excluding the $600 already paid) in the first 100 days of Joe Biden's presidency?",,"★★☆☆☆"
"New York City mayoral election 2021: Democratic candidate","https://smarkets.com/event/42042481/politics/us/2021-elections/new-york-city-mayoral-election-2021","Smarkets","[{""name"":""Andrew Yang"",""probability"":0.5057791948983659,""type"":""PROBABILITY""},{""name"":""Eric Adams"",""probability"":0.1811478676763651,""type"":""PROBABILITY""},{""name"":""Scott Stringer"",""probability"":0.09057393383818255,""type"":""PROBABILITY""},{""name"":""Raymond McGuire"",""probability"":0.04533678756476684,""type"":""PROBABILITY""},{""name"":""Maya Wiley"",""probability"":0.11857313670785173,""type"":""PROBABILITY""},{""name"":""Shaun Donovan"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Dianne Morales"",""probability"":0.05858907931446791,""type"":""PROBABILITY""},{""name"":""Kathryn Garcia"",""probability"":0,""type"":""PROBABILITY""}]","Who will win the Democratic primary to be the party's candidate for the 2021 New York City mayoral election? Candidates added on request.",,"★★☆☆☆"
"Trump to create new political party","https://smarkets.com/event/42047360/politics/us/donald-trump/trump-to-create-new-political-party","Smarkets","[{""name"":""Yes"",""probability"":0.12945111154829825,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8705488884517018,""type"":""PROBABILITY""}]","Will Donald Trump create (or affiliate himself with) a new political party in 2021?",,"★★☆☆☆"
"Most seats following the German Federal Election 2021","https://smarkets.com/event/42048426/politics/europe/germany/german-federal-election","Smarkets","[{""name"":""CDU + CSU"",""probability"":0.8866338069005509,""type"":""PROBABILITY""},{""name"":""SPD"",""probability"":0.053735382236397025,""type"":""PROBABILITY""},{""name"":""Greens"",""probability"":0.04204117135401566,""type"":""PROBABILITY""},{""name"":""AfD"",""probability"":0.01758963950903644,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Donald Trump Jr. to run in the 2022 Pennsylvania Republican Senate primary","https://smarkets.com/event/42048465/politics/us/2021-elections/donald-trump-jr","Smarkets","[{""name"":""Yes"",""probability"":null,""type"":""PROBABILITY""},{""name"":""No"",""probability"":null,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"2022 House of Representatives control","https://smarkets.com/event/42048472/politics/us/2021-elections/2022-house-of-representatives-control","Smarkets","[{""name"":""Democratic"",""probability"":0.3759190298863745,""type"":""PROBABILITY""},{""name"":""Republican"",""probability"":0.6240809701136256,""type"":""PROBABILITY""}]","Which party will win the most seats in the 2022 House of Representatives elections?",,"★★☆☆☆"
"President Joe Biden to leave office in his first term via Impeachment, Resignation or the 25th Amendment","https://smarkets.com/event/42048883/politics/us/joe-biden/biden-to-leave-officeq","Smarkets","[{""name"":""Yes"",""probability"":0.40477636106051407,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5952236389394859,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"2022 Senate control","https://smarkets.com/event/42048961/politics/us/2021-elections/2022-senate-control","Smarkets","[{""name"":""Democratic"",""probability"":0.42413301662707836,""type"":""PROBABILITY""},{""name"":""Republican"",""probability"":0.5758669833729216,""type"":""PROBABILITY""}]","Which party will control the United States Senate following the 2022 midterm elections?",,"★★☆☆☆"
"Lisa Nandy to remain the Labour Party's Shadow Secretary of State for FCO until at least the 1st January 2022","https://smarkets.com/event/42048963/politics/uk/shadow-cabinet-ministers/lisa-nandy","Smarkets","[{""name"":""Yes"",""probability"":0.6005369127516779,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.39946308724832214,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"2022 House and Senate control","https://smarkets.com/event/42048965/politics/us/2021-elections/2022-house-and-senate-control","Smarkets","[{""name"":""D House / D Senate"",""probability"":0.2841289413422582,""type"":""PROBABILITY""},{""name"":""D House / R Senate"",""probability"":0.12585872820151486,""type"":""PROBABILITY""},{""name"":""R House / D Senate"",""probability"":0.2230051083318654,""type"":""PROBABILITY""},{""name"":""R House / R Senate"",""probability"":0.36700722212436143,""type"":""PROBABILITY""}]","Who will control the House and Senate following the 2022 midterm elections?",,"★★☆☆☆"
"Harriet Tubman to appear on the US $20 note in 2021","https://smarkets.com/event/42056981/politics/us/dollars/harriet-tubman","Smarkets","[{""name"":""Yes"",""probability"":0.4627465644573245,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5372534355426755,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"2021 Dutch election: Most seats","https://smarkets.com/event/42057130/politics/europe/netherlands/2021-dutch-election-most-seats","Smarkets","[{""name"":""VVD (People's Party for Freedom and Democracy)"",""probability"":0.9794242753981601,""type"":""PROBABILITY""},{""name"":""PVV (Party for Freedom)"",""probability"":0.020575724601839946,""type"":""PROBABILITY""}]","Which party will win the most seats in the 2021 Dutch general election?",,"★★☆☆☆"
"Turnout of the Scottish Parliament Election in 2021 (FPTP figure)","https://smarkets.com/event/42058821/politics/uk/scotland/scottish-parliament-election-2021-turnout","Smarkets","[{""name"":""50% and below"",""probability"":0,""type"":""PROBABILITY""},{""name"":""51-53%"",""probability"":0,""type"":""PROBABILITY""},{""name"":""54-56%"",""probability"":1,""type"":""PROBABILITY""},{""name"":""57%+"",""probability"":0,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Marjorie Taylor Greene to be expelled from Congress","https://smarkets.com/event/42064701/politics/us/marjorie-taylor-greene/marjorie-taylor-greene-to-be-expelled-from-congress","Smarkets","[{""name"":""Yes"",""probability"":0.06661340257665035,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9333865974233496,""type"":""PROBABILITY""}]","Will US Representative Marjorie Taylor Greene be expelled from the House of Representatives by the end of April 2021?",,"★★☆☆☆"
"2021 Israeli election: Likud seats","https://smarkets.com/event/42067807/politics/world/israel/israeli-election-2021-likud-seats","Smarkets","[{""name"":""26 or fewer"",""probability"":0.15618714473108875,""type"":""PROBABILITY""},{""name"":""27–28"",""probability"":0.174901617839965,""type"":""PROBABILITY""},{""name"":""29–30"",""probability"":0.2610406646261478,""type"":""PROBABILITY""},{""name"":""31–32"",""probability"":0.23637953651071272,""type"":""PROBABILITY""},{""name"":""33 or more"",""probability"":0.17149103629208567,""type"":""PROBABILITY""}]","How many seats will Likud win in the March 2021 Israeli legislative election?",,"★★☆☆☆"
"2021 Israeli election: Joint List seats","https://smarkets.com/event/42067810/politics/world/israel/israeli-election-2021-joint-list-seats","Smarkets","[{""name"":""8 or fewer"",""probability"":0.5,""type"":""PROBABILITY""},{""name"":""9 or more"",""probability"":0.5,""type"":""PROBABILITY""}]","How many seats will the Joint List win in the 2021 Israeli legislative election?",,"★★☆☆☆"
